,ID,Country,Date Start,Date end intended,Description of measure implemented,Implementing State/Province,Keywords,Target region,education_closure,outdoor_gatherings_banned,sports cancellation,compulsory isolation,international travel ban,business suspension,blanket isolation,blanket curfew,social distancing
268,133,Trinidad and Tobago,2020-02-01,,Trinidad and Tobago's travel restrictions on persons arriving from China goes into full effect. Persons now have to wait 14 days after leaving China before being able to enter Trinidad & Tobago. Additionally persons who may already be at a port of entry and who were in China or are showing symptoms will be subject to quarantine measures.,,international travel ban - risk countries,,,,,,1.0,,,,
270,134,Qatar,2020-02-03,,Qatar Airways has suspended flights to mainland China from 3 February until further notice,,international travel ban - risk countries,,,,,,1.0,,,,
272,135,New Zealand,2020-02-02,2020-02-28,"New Zealand has temporarily banned all foreign nationals travelling from, or transiting through mainland China after 2 February to assist the containment of the coronavirus into New Zealand and the Pacific Islands. Foreign travelers in transit to New Zealand on 2 February will be subject to enhanced scanning but pending clearance will be allowed into New Zealand.",,international travel ban - risk countries,,,,,,1.0,,,,
297,169,Austria,2020-03-10,,Travel restrictions for people coming from Italy are established.,,international travel ban - risk countries,,,,,,1.0,,,,
308,183,Azerbaijan,2020-03-04,,"On 4 March, Azerbaijan stopped letting trucks and imports coming from Iran to enter the country.[4]",,international travel ban - risk countries,,,,,,1.0,,,,
311,182,Azerbaijan,2020-02-28,2020-03-13,On the same day Azerbaijan closed borders with Iran for 2 weeks.[3],,international travel ban - risk countries,,,,,,1.0,,,,
318,195,Spain,2020-03-10,2020-03-25,the Government of Spain decreed the immediate cancellation of all direct flights from Italy to Spain until 25 March,,international travel ban - risk countries,,,,,,1.0,,,,
340,219,Bosnia and Herzegovina,2020-03-10,,entry to travelers from countries most affected by the coronavirus outbreak,Bosnia,international travel ban - risk countries,,,,,,1.0,,,,
369,246,Estonia,2020-03-17,,"To set up full border control from 17 March with only Estonian citizens, permanent residents, their relatives, and transport workers carrying out freight transport allowed to enter the country.",,international travel ban - all countries,,,,,,2.0,,,,
382,260,Georgia,2020-01-27,,Georgia also temporarily shut down all flights to Iran.[2],,international travel ban - risk countries,,,,,,1.0,,,,
384,258,Georgia,2020-01-27,,All flights from China and Wuhan to Tbilisi International Airport were cancelled until 27 January.,,international travel ban - risk countries,,,,,,1.0,,,,
394,270,Hungary,2020-03-06,,"On 6th March, it was decided that no more visas would be issued for Iranian citizens",,international travel ban - risk countries,,,,,,1.0,,,,
395,268,Spain,2020-03-17,,Spain will close all of its land borders to unnecessary travel at midnight,,international travel ban - all countries,,,,,,2.0,,,,
398,278,Hungary,2020-03-09,,Budapest Ferenc Liszt International Airport does not allow any plane to land coming from Northern Italy,,international travel ban - risk countries,,,,,,1.0,,,,
407,284,Hungary,2020-03-17,,"only Hungarian citizens will be allowed to enter the country. The restriction relates to all road, railway, water and air borders.",,international travel ban - all countries,,,,,,2.0,,,,
415,291,Lithuania,2020-03-16,2020-03-30,"The whole country is in quarantine.    were closed for foreigners regardless of means of transport, excluding cargo and special transport; all international outbound passenger travel was prohibited.",,international travel ban - all countries,,,,,,2.0,,,,
423,300,Georgia,2020-03-16,2020-03-30,"On 16 March, the spokesperson of the Government of Georgia Irakli Chikovani announced special measures and recommendations. The government of Georgia banned entrance to Georgia for any foreign nationals for the next two weeks.",,international travel ban - all countries,,,,,,2.0,,,,
428,299,Moldova,2020-03-17,2020-03-31,"All air travel banned, regardless of the purpose and destination, land borders closed too",,"domestic travel ban, international travel ban - all countries",,,,,,2.0,,,,
437,313,Netherlands,2020-03-13,,"The government cancelled all flights from China, Iran, Italy, and South Korea, the countries with the highest number of coronavirus cases, for two weeks.",,international travel ban - risk countries,,,,,,1.0,,,,
443,320,Greece,2020-03-16,,"On 16 March, Greece closed its borders with Albania and North Macedonia, deciding to suspend all road, sea and air links with these countries, while only permitting the transportation of goods and the entry of Greek nationals and residents. The suspension of ferry services to and from Italy, air links to Spain, as well as the prohibition of all cruise ships and sailboats docking in Greek ports was also decided.",cruise ship,international travel ban - risk countries,,,,,,1.0,,,,
444,319,Greece,2020-03-14,,All air traffic with Italy was banned.,,international travel ban - risk countries,,,,,,1.0,,,,
451,347,Macedonia,2020-03-13,,"Entries of foreign nationals to the country arriving from 'high-risk countries' would start getting denied. List of countries not specified, would act according to WHO reccommendation.",,international travel ban - risk countries,,,,,,1.0,,,,
469,362,Ireland,2020-03-10,,Flights to and from some affected regions were suspended.[48],,international travel ban - risk countries,,,,,,1.0,,,,
496,385,Portugal,2020-03-13,,"In the Autonomous Region of Madeira the Regional Government has ordered the cessation of all flights between the region and countries where there is active transmission from Covid-19, with the exception of the national territory.",Autonomous Region of Madeira,international travel ban - risk countries,,,,,,1.0,,,,
500,403,Poland,2020-03-14,,Closure of borders for air and rail traffic.,,international travel ban - all countries,,,,,,2.0,,,,
506,415,Portugal,2020-03-16,,Portugal suspended on Monday all passenger air and rail traffic with hard-hit Spain until April 15.,,international travel ban - risk countries,,,,,,1.0,,,,
507,414,Moldova,2020-03-10,,All foreigners coming from the countries affected by coronavirus have been banned from entering Moldova by plane,,international travel ban - all countries,,,,,,2.0,,,,
512,398,Slovakia,2020-03-13,,"Starting from 7AM (CET) border control was reinstated on the borders with Austria, Hungary and the Czech Republic. No traveler without a permanent residence or employment in Slovakia will be admitted.",,international travel ban - all countries,,,,,,2.0,,,,
528,445,Norway,2020-03-16,,On 16 March travel ban was extended to all borders of Norway and Nordic non-Norwegian citizens.,,international travel ban - all countries,,,,,,2.0,,,,
535,435,Switzerland,2020-03-13,,The Federal Council decided to partially close its borders and enacted border controls,,international travel ban - risk countries,,,,,,1.0,,,,
536,444,Norway,2020-03-13,,"Norway introduced a ban on visits to Norway through Oslo airport. Norwegian and Nordic citizens, foreign residents in Norway and people continuing to another country are allowed anyway. Other people are dismissed and sent home as soon as possible and put in quarantine until then.",,international travel ban - all countries,,,,,,2.0,,,,
541,448,Romania,2020-03-09,2020-03-23,"The officials announced the cessation of flights to and from Italy, at all airports in the country.",,international travel ban - risk countries,,,,,,1.0,,,,
549,462,Germany,2020-03-16,,"shut down the borders with France, Switzerland, Austria, Denmark and Luxembourg. The measure would begin on Monday and the transportation of goods and commuters would be exempt",,international travel ban - all countries,,,,,,2.0,,,,
553,474,Czechia,2020-03-05,2020-03-19,"On Monday, March 2, 2020, the Security Council met. With effect from 5 March for 14 days, it suspended air connections to areas in northern Italy and South Korea. Following this decision, the Minister of Health issued appropriate safeguards: suspension of flights from northern Italy and suspension of flights from South Korea.",,international travel ban - risk countries,,,,,,1.0,,,,
561,454,Serbia,2020-03-18,,The borders are closed to all foreigners not living in Serbia.,,international travel ban - all countries,,,,,,2.0,,,,
568,488,Czechia,2020-03-16,,"As of 16 March 2020, all foreigners without permanent or temporary residence for more than 90 days are prohibited from entering the Czech Republic. As of 16 March 2020, citizens of the Czech Republic and foreigners with a permanent or temporary stay of over 90 days are prohibited from leaving the Czech Republic.",,international travel ban - all countries,,,,,,2.0,,,,
569,483,Czechia,2020-02-03,,"On Monday, February 3, 2020, Minister of Health Adam Vojtěch signed a protective measure banning all direct flights from China to all international airports in the Czech Republic from Sunday, February 9, 2020 until further notice.",,international travel ban - risk countries,,,,,,1.0,,,,
592,571,Australia,2020-03-20,,All non-residents banned to entry the country.,,international travel ban - all countries,,,,,,2.0,,,,
596,586,Russia,2020-03-20,,"Russia will limit flights to the United States, Britain and the United Arab Emirates starting Friday, Prime Minister Mikhail Mishustin ordered.",,international travel ban - risk countries,,,,,,1.0,,,,
597,593,Russia,2020-03-16,,"Russia has closed its border with neighboring Belarus as a ""proactive step"" to halt the coronavirus' spread, the state-run TASS news agency quoted Prime Minister Mikhail Mishustin as saying.",,international travel ban - risk countries,,,,,,1.0,,,,
601,579,Russia,2020-02-03,,"Russia will temporarily restrict the entry of foreigners arriving from China, Deputy Prime Minister Tatiana Golikova said. She said the restrictions would not apply to Moscow's Sheremetyevo Airport, the capital's main international airport.",,international travel ban - risk countries,,,,,,1.0,,,,
602,584,Russia,2020-03-18,2020-05-01,Russia will ban the entry of foreign nationals and stateless people from March 18 to May 1 in response to the coronavirus outbreak.,,international travel ban - all countries,,,,,,2.0,,,,
608,594,Russia,2020-03-13,,Russia's border will temporarily be closed to Italian citizens and foreigners traveling from Italy as Italy continues to grapple with the worst coronavirus outbreak in Europe.,,international travel ban - risk countries,,,,,,1.0,,,,
610,580,Russia,2020-03-01,,"The Russian government temporarily barred  entry of South Korean citizens from March 1 as a precaution against the spread of coronavirus, decrees published online showed. Moscow will suspend flights between Russia and South Korea from March 1 over coronavirus fears, except those operated by Aeroflot and Aurora, Deputy Prime Minister Tatiana Golikova said.",,international travel ban - risk countries,,,,,,1.0,,,,
611,582,Russia,2020-02-28,,The Russian government temporarily barred Iranian citizens from entering Russia.,,international travel ban - risk countries,,,,,,1.0,,,,
616,576,Russia,2020-03-15,,"Russian Railways announced it would stop international passenger trains from Moscow to Berlin and Paris. Earlier it was announced that train connections to and from Ukraine, Moldova and Latvia will be suspended.",,international travel ban - risk countries,,,,,,1.0,,,,
619,601,Romania,2020-03-10,2020-03-31,All bus rides and rail transport to and from Italy were suspended from 10 March until 31 March.,,international travel ban - risk countries,,,,,,1.0,,,,
663,685,Italy,2020-01-31,,"On 31 January, the Italian government suspended all flights to and from China",,international travel ban - risk countries,,,,,,1.0,,,,
713,717,United States,2020-02-25,,General Tod D. Walters issued a travel ban covering the areas of Italy affected by the outbreak for US service members and their families.,,international travel ban - risk countries,,,,,,1.0,,,,
730,,Germany,2020-01-28,2020-02-09,"After a case was suspected in a Lufthansa plane, the company suspended all flights to China + This also applies to all flights operated by Swiss and Austrian Airlines",,international travel ban - risk countries,,,,,,1.0,,,,
744,,Germany,2020-03-17,,"In order to interrupt the chain of infection when entering Germany for a long time, cross-border travel is restricted.Particular attention is paid to the unrestricted maintenance of freight traffic.",,international travel ban - all countries,,,,,,2.0,,,,
793,766,Albania,2020-03-08,2020-04-03,"On 8 March, the government stopped all flights and ferries with quarantined areas of northern Italy until 3rd April,",,international travel ban - risk countries,,,,,,1.0,,,,
810,779,Albania,2020-03-12,,"By the 12th, 500 people had been charged for violating the travel ban.",,international travel ban - risk countries,,,,,,1.0,,,,
814,792,Albania,2020-03-15,,"On 15 March, Albania closed all of its land borders until further notice, making all travel from Montenegro, Kosovo, North Macedonia, and Greece prohibited.",,international travel ban - all countries,,,,,,2.0,,,,
815,791,Albania,2020-03-13,,Sea travel from Greece and Italy was prohibited except for freight vessels.,,international travel ban - risk countries,,,,,,1.0,,,,
825,795,Albania,2020-03-15,,The Albanian government began organizing a charter flight to extract remaining Albanian citizens in Italy; all air travel to Italy and Greece was indefinitely suspended.,,international travel ban - risk countries,,,,,,1.0,,,,
827,797,Albania,2020-03-16,,"On 16 March, Albania indefinitely suspended all air traffic to and from the United Kingdom.",,international travel ban - all countries,,,,,,2.0,,,,
832,810,Russia,2020-01-30,,Border with China is closed.,,international travel ban - risk countries,,,,,,1.0,,,,
840,,Bosnia and Herzegovina,2020-03-24,,"On 24 March 2020, Council of Ministers of Bosnia and Herzegovina issued a decision which bans entrance for all foreigners, and also from 30 March 2020 all borders at airports in Bosnia and Herzegovina will be closed for passengers, and airplanes could land only to deliver cargo.",,international travel ban - all countries,,,,,,2.0,,,,
842,,Bosnia and Herzegovina,2020-03-15,,"On 15 March 2020, Council of Ministers of Bosnia and Herzegovina issued a decision which forbids for foreign nationals entering Bosnia and Herzegovina to enter from areas with intensive transmission of virus coronas, and especially from: Provinces of the PRC (Wuhan), South Korea, Japan, Italy, Iran, France, Romania, Germany, Austria, Spain, Switzerland and Belgium.",,international travel ban - risk countries,,,,,,1.0,,,,
858,824,Bulgaria,2020-03-18,,"The Ministry of Health announced that citizens from a number of countries would be prohibited from entering Bulgaria starting 00:00 on 18 March. These are China, Iran, Bangladesh, India, the Maldives, Nepal, Sri Lanka, Spain, Italy, South Korea, France, Germany, the Netherlands, Switzerland and the United Kingdom.",,international travel ban - risk countries,,,,,,1.0,,,,
880,845,Egypt,2020-01-26,,Flights from China to Egypt banned,,international travel ban - risk countries,,,,,,1.0,,,,
881,846,Egypt,2020-03-19,,"All air travel suspended, with the exception of outward-bound flights needed by foreign tourists to leave",,"international travel ban - all countries, outbound traveller ban",,,,,,2.0,,,,
889,855,Egypt,2020-03-13,,"Suspension of flights to and from Khartoum, Sudan",,international travel ban - risk countries,,,,,,1.0,,,,
922,850,Croatia,2020-03-14,,"On 14 March, Croatia closed all borders with Bosnia and Herzegovina.",,international travel ban - risk countries,,,,,,1.0,,,,
925,847,Croatia,2020-03-02,2020-04-23,"On 2 March, the first flights to Zagreb were cancelled at 9:50 AM (CET).[48] Korean Air also announced that it would be cancelling flights on the Seoul-Zagreb line (which had been due to begin on 31 March) until 23 April.",,international travel ban - risk countries,,,,,,1.0,,,,
927,852,Croatia,2020-03-18,,"On 18 March, it was announced that, as of the next day, 27 border crossing stations on the border with Slovenia would be closed",,international travel ban - all countries,,,,,,2.0,,,,
943,865,Denmark,2020-03-11,,"From 11 March, all flights from high risk regions were cancelled",,international travel ban - risk countries,,,,,,1.0,,,,
944,864,Denmark,2020-03-14,2020-04-13,"From 14 March to 13 April, all Danish borders will be closed, except for transport of goods, people with an important reason for visiting, foreigners leaving Denmark, and Danes and people with a residence permit returning to Denmark.",,international travel ban - all countries,,,,,,2.0,,,,
947,866,Estonia,2020-03-17,,The Latvian airline airBaltic suspended all flights from 17 March including those from Tallinn Airport.,,international travel ban - all countries,,,,,,2.0,,,,
951,,Singapore,2020-02-01,,Visitors from Mainland China banned,,international travel ban - risk countries,,,,,,1.0,,,,
952,,Singapore,2020-02-26,,Visitors from Daegu and Cheongdo (South Korea) banned,,international travel ban - risk countries,,,,,,1.0,,,,
953,,Singapore,2020-03-04,,"Visitors from Iran, northern Italy, South Korea banned",,international travel ban - risk countries,,,,,,1.0,,,,
954,,Singapore,2020-03-15,,"Visitors from France, Germany, Italy, Spain banned",,international travel ban - risk countries,,,,,,1.0,,,,
961,,Singapore,2020-01-29,,Visitors from Hubei are banned,,international travel ban - risk countries,,,,,,1.0,,,,
1108,,Nepal,2020-01-28,,"On 28 January, Nepal closed down the Rasuwagadhi border with China, bringing Nepal-China trade to a complete halt.",,international travel ban - risk countries,,,,,,1.0,,,,
1133,,Greece,2020-03-22,,All flights to and from Greeece banned starting Sunday 22 March,,international travel ban - all countries,,,,,,2.0,,,,
1149,,Malta,2020-03-20,,All arrivals must self-quarantine. In bound flights suspended from 20 March.,,international travel ban - all countries,,,,,,2.0,,,,
1250,,Singapore,2020-03-13,,No cruise vessels allowed,,international travel ban - risk countries,,,,,,1.0,,,,
1257,,Singapore,2020-01-31,,All visitors from mainland China are blocked from entering Singapore,,international travel ban - risk countries,,,,,,1.0,,,,
1262,,Japan,2020-02-12,,The Government of Japan barred: entry restrictions for anyone who had travelled to and from Zhejiang or had a Chinese passport issued from Zhejiang ,,international travel ban - risk countries,Zhejiang,,,,,1.0,,,,
1288,,Nepal,2020-03-15,,The government closed land border entry points for third country nationals,,international travel ban - all countries,,,,,,2.0,,,,
1289,,Qatar,2020-03-08,,"Qatar imposed a temporary ban on arrivals from Nepal and other countries, affecting almost 40,000 labour migrants with valid work permits who were yet to leave.",,international travel ban - risk countries,,,,,,1.0,,,,
1292,,Nepal,2020-03-02,,"The Supreme Court issued an interim order to suspend flights to and from countries affected by the disease, in response to a public interest litigation. The government issued a travel advisory against non-essential travel to countries hardest hit by the disease, including China, Iran, South Korea, Japan and Italy.",,international travel ban - risk countries,,,,,,1.0,,,,
1295,,Serbia,2020-03-20,,"All the border crossings were closed for traffic, except for trucks transporting goods",,international travel ban - all countries,,,,,,2.0,,,,
1298,,Nepal,2020-03-20,2020-04-15,"The government banned all passengers, including Nepalis, from EU and the UK, West Asia and the Middle East as well as Malaysia, South Korea and Japan, effective from 20 March until 15 April.",,international travel ban - risk countries,,,,,,1.0,,,,
1308,,Nepal,2020-03-22,2020-03-31,All international flights would be stopped from 22 March to 31 March,,international travel ban - all countries,,,,,,2.0,,,,
1324,,Nepal,2020-03-23,2020-03-30,Nepal decided to close its land border with India and China for a week effective from 23 March.,,international travel ban - risk countries,,,,,,1.0,,,,
1345,,Cyprus,2020-03-15,2020-03-29,"President Nicos Anastasiades, in a special appearance, announced the closing of all borders except for nationals for 15 days from 15 March. A. From 1 a.m. of 15 March and for a period of 15 days in the first phase, the prohibition of entry to any citizen – regardless of nationality – who does not fall into the following categories:
• Cypriot citizens.
• Legal residents in the Republic of Cyprus.
• European nationals or third-country nationals working in the Republic.
• Nationals of countries who are in a designated diplomatic service or mission under bilateral or international conventions.
• Individual cases of European nationals or third-country nationals for unavoidable professional obligations, provided that the relevant authorization has been obtained from the competent Ministry.
European or third country citizens attending educational institutions in the Republic of Cyprus.",,international travel ban - all countries,,,,,,2.0,,,,
1409,,Georgia,2020-01-29,2020-03-29,Georgia suspends direct flights with China for two months.,,international travel ban - risk countries,,,,,,1.0,,,,
1411,,Georgia,2020-02-23,,"Georgia calls the outbreak of the coronavirus in neighboring Iran a ""serious concern"" and suspends direct flights with the Islamic Republic.",,international travel ban - risk countries,,,,,,1.0,,,,
1413,,Georgia,2020-02-26,,"Prime Minister Giorgi Gakharia sets up an Inter-Agency Council for Coordination Against the Coronavirus (IACC), made of representatives of every major government agency, to manage the situation. The IACC's first decision is to ban flights to Iran.",,international travel ban - risk countries,,,,,,1.0,,,,
1415,,Georgia,2020-02-27,,Turkish citizens who visited coronavirus-infected countries are banned from crossing the Georgian-Turkish border.,,international travel ban - risk countries,,,,,,1.0,,,,
1432,,Uganda,2020-03-18,2020-04-19,banned all incoming and outgoing travel to specified highly affected countries for a period of 32 days,,international travel ban - risk countries,,,,,,1.0,,,,
1436,,Uganda,2020-03-24,2020-04-23,Entry of any person or animal to Uganda prohibited,,international travel ban - all countries,,,,,,2.0,,,,
1503,,Iceland,2020-03-18,,"As of 18 March, the whole world is defined as a high risk area. All travel abroad is discouraged and residents in Iceland who are currently abroad are encouraged to return home as soon as possible.",,international travel ban - all countries,,,,,,2.0,,,,
1513,,Belgium,2020-03-20,,"On 20 March, from 3 p.m. onwards Belgium closed its borders to all non-essential travel",,international travel ban - all countries,,,,,,2.0,,,,
1523,,US: Connecticut,2020-03-03,,"Southern Connecticut State University suspended all institutionally-supported travel to nations including Italy, China, South Korea, and Japan",,international travel ban - risk countries,,,,,,1.0,,,,
1610,,Brazil,2020-03-17,,Brazilian authorities partially closed their border with Venezuela,,international travel ban - risk countries,,,,,,1.0,,,,
1614,,Brazil,2020-03-21,,"n view of the advance of the Covid-19 outbreak, the federal government closed land borders with Argentina, Bolivia, Colombia, French Guiana, Guyana, Paraguay, Peru and Suriname. The border with Venezuela is already closed.",,international travel ban - all countries,,,,,,2.0,,,,
1627,,Taiwan,2020-03-19,,"- Non-Taiwanese nationals will not be allowed to enter Taiwan. Entry permit for People carrying diplomatic and business proofs will be decided based on discretion.
Regardless of nationality, all visitors and Taiwanese arriving from other countries will go into quarantine for 14 days.
- People who returned from tips to Europe, Egypt and Turkey between March 5 and March 14 must immediately begin home quarantine for 14 days. 
- People who mush undergo quarantine will be compensated for NT$1000 (US$33). ",,"compulsory isolation, international travel ban - all countries, international traveller quarantine - all countries, isolation allowance",,,,,1.0,2.0,,,,
80,427,Slovenia,2020-03-16,,The government closed all restaurants and bars,,limited nonessential business suspension,,,,,,,1.0,,,
83,,Slovenia,2020-03-16,,"The provision and sale of goods and services directly to consumers in the territory of the Republic of Slovenia was temporarily banned on 16 March. These include accommodation, catering, wellness, sports and recreational, cinematographic, cultural, hairdressing, cosmetics and pedicure services, including gaming and other similar activities.",,general nonessential business suspension,,,,,,,1.0,,,
93,,Israel,2020-03-15,,"Venues required to close: malls, restaurants, hotel dining rooms, pubs, dance clubs, gyms, pools, beaches, water and amusement parks, zoos and petting zoos, bathhouses and ritual baths for men, beauty and massage salons, event and conference venues, public boats and cable cars, and heritage sites. Take-away restaurants, supermarkets and pharmacies were to remain open",,"general nonessential business suspension, sports cancellation",,,,1.0,,,1.0,,,
112,,Hong Kong,2020-03-27,2020-04-12,"The ban on more than four people getting together in public places will apply both indoors and outdoors for two weeks from Sunday, with offenders liable to a fine of up to HK$25,000 and six months in prison.
Restaurants are being ordered to slash the maximum number of customers they can host at any one time by 50 percent, with a cap of four people at each table, and with tables placed at least 1.5 metres apart from each other.
Cinemas, gyms, amusement game centres and other entertainment venues are being told to close from 6pm on Saturday.",,"indoor person density, limited nonessential business suspension, outdoor gatherings banned, restaurant limitations, social distancing advice",,,1.0,,,,1.0,,,
115,,Hong Kong,2020-03-25,2020-03-31,"The government has also proposed amending laws to prohibit 8,600 licenced restaurants and bars from selling alcohol in an effort to promote social distancing. Lam added the measure aims to prevent viral transmission in intimate settings.",,limited nonessential business suspension,,,,,,,1.0,,,
121,,Hong Kong,2020-03-21,2020-04-24,"- The exams for the Hong Kong Diploma of Secondary Education will be postponed and oral exams cancelled. The key tests, which are a reference for university enrollment, will be pushed back to April 24 and schools will remain closed until further notice.
- Only essential government services will be in operation as of Monday. Libraries, museums and leisure facilities will close, after they reopened at the start of March, as Lam urged private sector employers to roll out work-from-home arrangements.
- The government will give two face masks per day to seniors at elderly homes",,"general nonessential business suspension, public announcement, public mask and hygiene supply, remote work, school closure, social distancing, very large event cancellation or postponement, waste water treatment",,1.0,,,,,1.0,,,
153,8,China,2020-01-01,,Huanan Seafood Market closed by Jianghan District's Health Agency and Administration for Market Regulation for 'environment improvement'; workers in hazmat suits inspected market and collected samples,Hubei,limited nonessential business suspension,,,,,,,1.0,,,
163,27,China,2020-02-01,,"Hunan government required companies in the province not to resume business before 24:00 on 9 February; the new semester is not to start earlier than 17 February for primary and secondary schools and kindergartens, and 24 February for post-secondary institutions",Hunan,"general nonessential business suspension, school closure, university closure",,1.0,,,,,1.0,,,
164,28,China,2020-02-01,,Tianjin government issued a notice to postpone business resumption and the start of the new semester,Tianjin,"general nonessential business suspension, school closure, university closure",,1.0,,,,,1.0,,,
168,32,China,2020-02-01,,China Federation of Radio and Television Associations issued a notice to pause the filming of all films and TV dramas in mainland China during the epidemic,,limited nonessential business suspension,,,,,,,1.0,,,
169,33,China,2020-02-01,,Apple Inc. temporarily closed all Apple Stores in mainland China until 24:00 on 9 February.,,limited nonessential business suspension,,,,,,,1.0,,,
181,44,China,2020-02-03,,The Chinese New Year holiday period ended after having been extended for a week.,,general nonessential business suspension,,,,,,,1.0,,,
213,72,China,2020-02-13,,Hubei postponed business resumption and start of new semester across the province; businesses were not to resume before 24:00 on 20 Feb,Hubei,"general nonessential business suspension, school closure",,1.0,,,,,1.0,,,
217,76,Italy,2020-03-12,2020-03-25,"closure of shops (supermarkets, grocery, pharmacy)",,general nonessential business suspension,,,,,,,1.0,,,
218,77,Italy,2020-03-12,2020-03-25,closures of companies,,general nonessential business suspension,,,,,,,1.0,,,
225,85,Czechia,2020-03-14,2020-03-24,closure of shops,,general nonessential business suspension,,,,,,,1.0,,,
227,86,Czechia,2020-03-14,2020-03-24,ban on the presence of public in catering establishments ,,"limited nonessential business suspension, restaurant limitations",,,,,,,1.0,,,
234,94,China,2020-02-15,,"Jingmen, Hubei escalated control, prohibiting outside vehicles and persons from entering its central districts except for medical and living supplies, and shutting down all business except approved pharmacies, supermarkets, and hotels",Hubei,general nonessential business suspension,,,,,,,1.0,,,
251,112,China,2020-02-19,,"Hubei requires businesses in the province not to resume before 10 March, except for essential industries.",Hubei,general nonessential business suspension,,,,,,,1.0,,,
275,149,China,2020-02-08,2020-02-10,Apple extends the shutdown period of its stores and corporate offices in China. They will reopen at some time during the week of 10 February which is the week after the originally stated week Apple said they will reopen,,general nonessential business suspension,,,,,,,1.0,,,
283,5,Portugal,2020-03-15,,"All national museums, monuments and palaces, under the supervision of the Directorate-General for Cultural Heritage (DGPC) are closed.",,"cultural activity limitation, limited nonessential business suspension, social distancing",,,,,,,1.0,,,
287,157,Belgium,2020-03-14,,"cancel all cultural events and shutter bars and restaurants to stave off the spread of the coronavirus outbreak (all recreational events: sporting, cultural or folkloric"" are cancelled, ""regardless of size and whether it is a private or public meeting."")",,"cultural activity limitation, limited nonessential business suspension",,,,,,,1.0,,,
288,158,Belgium,2020-03-14,,"Beginning Saturday, only stores that provide essential services -- such as pharmacies and grocery stores-- will remain open under normal conditions. All other stores will remain open during the week, but closed at weekends.",,general nonessential business suspension,,,,,,,1.0,,,
294,165,Spain,2020-03-14,,"Spain impose nationwide lockdown (all stores except groceries and pharmacies). According to the government decree, people will only be allowed to leave their homes to buy food and medicine, commute to work, go to medical centers and banks, or take trips related to the care for the young and the elderly.",,"blanket isolation - no symptoms, general nonessential business suspension",,,,,,,1.0,,,
295,167,Spain,2020-03-14,,"state of emergency on Saturday, ordering the closure of all non-essential shops as well as bars, restaurants, cafes, football grounds and cinemas.",,general nonessential business suspension,,,,,,,1.0,,,
302,175,Austria,2020-03-17,,restaurants were ordered to close beginning on 17 March,,"limited nonessential business suspension, restaurant limitations",,,,,,,1.0,,,
324,199,France,2020-03-15,2020-04-15,"the closure of all non-essential shops and businesses, including museums, restaurants and cinemas until 15 April. Bars and restaurants can continue offering a takeaway or delivery service.",,general nonessential business suspension,,,,,,,1.0,,,
337,216,Belgium,2020-03-12,,"Late in the evening on 12 March, after a meeting of the National Security Council, the Belgian government ordered the closure of schools, discos, cafes and restaurants, and the cancellation of all public gatherings for sporting, cultural or festive purposes from Friday March 14th at midnight onwards.[74]",,"cultural activity limitation, limited nonessential business suspension, school closure",,1.0,,,,,1.0,,,
346,224,Bosnia and Herzegovina,2020-03-15,,"On March 15th, Banja Luka has decided to close all restaurants and cafés in the city. Except drugstores, hotels and motels, where drugstores will be working until 22h and hotels will be working until 18h.",,"general nonessential business suspension, restaurant limitations",,,,,,,1.0,,,
347,229,Bulgaria,2020-03-13,,"At the time of the announcement, schools had already been closed until March 11 due to an influenza B epidemic.[26] A massive increase in influenza B cases prompted suspensions of routine medical examinations, and a recommendation by the government for suspension of lectures at universities.[27] According to the latest Ministry of Health data, there were 2063 intensive care and 740 infectious disease hospital beds in the country, with a total of 1605 ventilators across the health system.[28] However, Chief Health Inspector Angel Kunchev stated on 5 March that there is a shortage of medical personnel. Schools, shopping centres, cinemas, restaurants, and other places of business were closed.",,"general nonessential business suspension, school closure",,1.0,,,,,1.0,,,
350,231,Bulgaria,2020-03-08,,"Following the announcement of positive SARS-CoV-2 test results, the Bulgarian government immediately banned the exports of protective equipment and placed orders for masks and protective suits to local manufacturers. In addition, 30,000 masks and 50,000 protective suits will be delivered by Turkey",,"general nonessential business suspension, protective equipment supplies",,,,,,,1.0,,,
352,223,Bosnia and Herzegovina,2020-03-12,,"numerous cities have made decisions to limit the work of grocery stores, restaurants, cafés and completely limit the work of gyms and fitness centers. Banja Luka,[15] Čelinac, Prnjavor,[16] Mrkonjić Grad and Doboj[17] are one of the cities that made these restrictions.",,limited nonessential business suspension,,,,,,,1.0,,,
362,237,Denmark,2020-03-13,2020-03-27,"Starting 13 March 2020, all people working in non-essential functions in the public sector must stay home for two weeks.",,"general nonessential business suspension, mandated remote work, remote work",,,,,,,1.0,,,
374,248,Finland,2020-01-27,2020-03-31,"The following day, the Finnish airline Finnair announced it suspended five weekly routes to Nanjing and Beijing Daxing until the end of March.[6]",,"general nonessential business suspension, outbound travel warning",,,,,,,1.0,,,
381,252,Finland,2020-03-16,2020-04-13,"Most government-run public facilities (theatres, libraries, museums etc.) will be shut down.",,limited nonessential business suspension,,,,,,,1.0,,,
405,281,Hungary,2020-03-16,,Budapest Zoo and Botanical Garden as well as every thermal baths will remain closed from 16th March,,"limited nonessential business suspension, sports cancellation",,,,1.0,,,1.0,,,
427,297,Malta,2020-03-17,,"All bars, cinemas, restaurants, gyms are closed ",,limited nonessential business suspension,,,,,,,1.0,,,
